tid	s	v	w	l_format	n	time	cpu	memory	read_bytes
1577816830	s	u	s	csv	0	10.96	77.63	887132160	6000640
1577816830	s	u	s	csv.gz	0	8.79	63.31	720633856	1478656
1577816830	s	u	s	snappy.parquet	0	5.04	42.69	751742976	14897152
1577816830	s	u	l	csv	0	15.13	63.27	897945600	8286208
1577816830	s	u	l	csv.gz	0	15.11	43.88	744177664	129900544
1577816830	s	u	l	snappy.parquet	0	6.40	43.21	943603712	30834688
1577816830	s	r	s	csv	0	12.36	60.78	709713920	90112
1577816830	s	r	s	csv.gz	0	5.66	28.34	748732416	139264000
1577816830	s	r	s	snappy.parquet	0	4.52	39.49	918253568	1576960
1577816830	s	r	l	csv	0	14.78	65.75	728309760	194138112
1577816830	s	r	l	csv.gz	0	15.96	29.53	898613248	16715776
1577816830	s	r	l	snappy.parquet	0	6.39	65.90	994340864	9199616
1577816830	l	u	s	csv	0	14.02	79.59	843177984	441593856
1577816830	l	u	s	csv.gz	0	39.03	38.21	740880384	273117184
1577816830	l	u	s	snappy.parquet	0	7.34	57.56	993492992	192651264
1577816830	l	u	l	csv	0	50.03	75.14	975515648	1335631872
1577816830	l	u	l	csv.gz	0	101.35	35.99	750956544	792088576
1577816830	l	u	l	snappy.parquet	0	12.49	41.86	1350639616	459218944
1577816830	l	r	s	csv	0	34.95	71.85	844308480	542310400
1577816830	l	r	s	csv.gz	0	36.19	43.41	859947008	27017216
1577816830	l	r	s	snappy.parquet	0	8.49	36.01	1356439552	9076736
1577816830	l	r	l	csv	0	54.12	69.97	1003642880	1174593536
1577816830	l	r	l	csv.gz	0	67.02	39.85	1007013888	103473152
1577816830	l	r	l	snappy.parquet	0	10.05	49.68	1084010496	30203904
1577816830	s	u	s	csv	1	8.56	76.18	858775552	110592
1577816830	s	u	s	csv.gz	1	8.49	55.08	714547200	1400832
1577816830	s	u	s	snappy.parquet	1	5.79	59.74	808550400	5705728
1577816830	s	u	l	csv	1	16.87	66.31	870326272	512000
1577816830	s	u	l	csv.gz	1	16.94	42.28	742539264	24576
1577816830	s	u	l	snappy.parquet	1	6.30	63.36	938414080	1695744
1577816830	s	r	s	csv	1	8.16	68.00	704749568	8192
1577816830	s	r	s	csv.gz	1	7.53	38.05	859529216	131072
1577816830	s	r	s	snappy.parquet	1	4.55	48.27	759767040	630784
1577816830	s	r	l	csv	1	16.31	69.22	756563968	69632
1577816830	s	r	l	csv.gz	1	19.17	39.90	1328447488	11448320
1577816830	s	r	l	snappy.parquet	1	5.99	61.35	999698432	11866112
1577816830	l	u	s	csv	1	35.33	70.27	892051456	16756736
1577816830	l	u	s	csv.gz	1	36.00	33.92	731373568	7995392
1577816830	l	u	s	snappy.parquet	1	7.85	36.48	1027514368	116707328
1577816830	l	u	l	csv	1	60.92	71.82	1077633024	31916032
1577816830	l	u	l	csv.gz	1	62.42	43.02	755482624	6541312
1577816830	l	u	l	snappy.parquet	1	12.82	42.13	1345679360	266764288
1577816830	l	r	s	csv	1	20.01	73.01	803733504	811008
1577816830	l	r	s	csv.gz	1	25.75	47.23	892907520	9719808
1577816830	l	r	s	snappy.parquet	1	8.02	42.15	1361461248	1523712
1577816830	l	r	l	csv	1	54.20	70.47	995385344	7012352
1577816830	l	r	l	csv.gz	1	62.61	38.12	1097744384	17666048
1577816830	l	r	l	snappy.parquet	1	10.44	55.23	1040064512	16252928
1577816830	s	u	s	csv	2	9.43	57.53	841453568	196608
1577816830	s	u	s	csv.gz	2	9.22	34.16	674873344	20480
1577816830	s	u	s	snappy.parquet	2	10.44	47.78	785231872	8597504
1577816830	s	u	l	csv	2	16.61	78.77	888287232	8880128
1577816830	s	u	l	csv.gz	2	16.93	46.10	732004352	12288
1577816830	s	u	l	snappy.parquet	2	6.58	65.07	885796864	61440
1577816830	s	r	s	csv	2	8.51	63.37	723038208	16384
1577816830	s	r	s	csv.gz	2	10.80	48.12	744288256	17711104
1577816830	s	r	s	snappy.parquet	2	5.16	53.79	757694464	253952
1577816830	s	r	l	csv	2	16.71	67.68	724430848	94208
1577816830	s	r	l	csv.gz	2	12.83	33.30	1420746752	20480
1577816830	s	r	l	snappy.parquet	2	7.05	50.55	971141120	10272768
1577816830	l	u	s	csv	2	21.09	65.98	869855232	475136
1577816830	l	u	s	csv.gz	2	29.69	36.14	752029696	13549568
1577816830	l	u	s	snappy.parquet	2	8.14	48.04	982138880	192512
1577816830	l	u	l	csv	2	58.49	67.46	1038004224	9351168
1577816830	l	u	l	csv.gz	2	105.49	39.79	748273664	5025792
1577816830	l	u	l	snappy.parquet	2	13.18	62.72	1407901696	86114304
1577816830	l	r	s	csv	2	29.89	77.79	830275584	204800
1577816830	l	r	s	csv.gz	2	29.62	40.48	833695744	630784
1577816830	l	r	s	snappy.parquet	2	8.38	56.75	1468219392	1851392
1577816830	l	r	l	csv	2	54.40	63.63	1053462528	417792
1577816830	l	r	l	csv.gz	2	81.27	39.27	1133748224	5525504
1577816830	l	r	l	snappy.parquet	2	11.82	51.84	1051955200	3244032
1577816830	s	u	s	csv	3	9.89	70.00	851705856	430080
1577816830	s	u	s	csv.gz	3	11.85	42.40	720650240	290816
1577816830	s	u	s	snappy.parquet	3	5.65	54.91	713678848	45056
1577816830	s	u	l	csv	3	15.25	75.56	889663488	69632
1577816830	s	u	l	csv.gz	3	16.35	41.38	742854656	40960
1577816830	s	u	l	snappy.parquet	3	7.09	58.71	948002816	0
1577816830	s	r	s	csv	3	10.17	52.13	721121280	0
1577816830	s	r	s	csv.gz	3	8.45	36.44	801562624	0
1577816830	s	r	s	snappy.parquet	3	5.28	57.36	799129600	0
1577816830	s	r	l	csv	3	15.24	65.34	735981568	14499840
1577816830	s	r	l	csv.gz	3	14.32	36.49	1159741440	4096
1577816830	s	r	l	snappy.parquet	3	6.27	64.07	1021124608	622592
1577816830	l	u	s	csv	3	33.87	67.63	880439296	495616
1577816830	l	u	s	csv.gz	3	27.77	36.26	727392256	86016
1577816830	l	u	s	snappy.parquet	3	7.11	42.93	904986624	26234880
1577816830	l	u	l	csv	3	74.25	77.72	975261696	622592
1577816830	l	u	l	csv.gz	3	63.35	30.18	758140928	2375680
1577816830	l	u	l	snappy.parquet	3	13.03	36.59	1377234944	130715648
1577816830	l	r	s	csv	3	31.43	66.39	834121728	8224768
1577816830	l	r	s	csv.gz	3	54.02	18.53	740757504	9818112
1577816830	l	r	s	snappy.parquet	3	8.34	56.02	1256620032	1245184
1577816830	l	r	l	csv	3	47.80	74.08	977920000	94208
1577816830	l	r	l	csv.gz	3	67.02	37.66	1057296384	2207744
1577816830	l	r	l	snappy.parquet	3	11.31	53.21	1035874304	3092480
1577816830	s	u	s	csv	4	10.79	56.60	860061696	630784
1577816830	s	u	s	csv.gz	4	6.82	55.01	690757632	65536
1577816830	s	u	s	snappy.parquet	4	5.53	65.09	787271680	0
1577816830	s	u	l	csv	4	17.22	69.01	878202880	23191552
1577816830	s	u	l	csv.gz	4	19.16	47.96	740483072	102400
1577816830	s	u	l	snappy.parquet	4	7.13	48.35	906022912	36864
1577816830	s	r	s	csv	4	9.58	78.49	697262080	8192
1577816830	s	r	s	csv.gz	4	10.85	37.90	802664448	8798208
1577816830	s	r	s	snappy.parquet	4	5.20	52.47	759107584	16384
1577816830	s	r	l	csv	4	15.91	71.92	749432832	0
1577816830	s	r	l	csv.gz	4	11.02	37.41	1128914944	1593344
1577816830	s	r	l	snappy.parquet	4	6.93	56.16	1111134208	16384
1577816830	l	u	s	csv	4	14.87	75.73	883154944	1011712
1577816830	l	u	s	csv.gz	4	31.72	42.63	731586560	45056
1577816830	l	u	s	snappy.parquet	4	6.60	47.90	884047872	81920
1577816830	l	u	l	csv	4	52.48	69.94	1070669824	430080
1577816830	l	u	l	csv.gz	4	66.90	37.98	738107392	172032
1577816830	l	u	l	snappy.parquet	4	14.48	55.50	1429729280	319488
1577816830	l	r	s	csv	4	12.25	49.39	795881472	12431360
1577816830	l	r	s	csv.gz	4	25.40	30.43	1361498112	36864
1577816830	l	r	s	snappy.parquet	4	7.95	36.05	1462468608	4096
1577816830	l	r	l	csv	4	77.82	70.80	1080406016	22835200
1577816830	l	r	l	csv.gz	4	85.38	37.68	988647424	5386240
1577816830	l	r	l	snappy.parquet	4	10.85	48.86	1174708224	57344
1577816830	s	u	s	csv	5	9.91	64.80	866086912	253952
1577816830	s	u	s	csv.gz	5	10.56	39.72	721653760	385024
1577816830	s	u	s	snappy.parquet	5	5.05	49.88	702660608	4096
1577816830	s	u	l	csv	5	17.51	72.61	895102976	45056
1577816830	s	u	l	csv.gz	5	18.57	39.60	753549312	40960
1577816830	s	u	l	snappy.parquet	5	6.59	50.69	933920768	1032192
1577816830	s	r	s	csv	5	9.71	68.71	696483840	409600
1577816830	s	r	s	csv.gz	5	5.30	36.89	741814272	12288
1577816830	s	r	s	snappy.parquet	5	5.19	52.62	771944448	3874816
1577816830	s	r	l	csv	5	15.94	64.12	747307008	8192
1577816830	s	r	l	csv.gz	5	13.96	32.98	889630720	32768
1577816830	s	r	l	snappy.parquet	5	5.83	44.41	1006329856	0
1577816830	l	u	s	csv	5	20.74	67.40	896057344	303104
1577816830	l	u	s	csv.gz	5	15.45	40.83	754196480	184320
1577816830	l	u	s	snappy.parquet	5	6.49	46.08	951545856	53248
1577816830	l	u	l	csv	5	35.07	72.54	950566912	14413824
1577816830	l	u	l	csv.gz	5	55.19	44.54	740794368	450560
1577816830	l	u	l	snappy.parquet	5	17.88	55.63	1435357184	589824
1577816830	l	r	s	csv	5	50.52	69.23	845926400	12361728
1577816830	l	r	s	csv.gz	5	12.91	43.28	1279840256	10821632
1577816830	l	r	s	snappy.parquet	5	7.84	43.29	1409449984	0
1577816830	l	r	l	csv	5	58.56	76.15	974835712	159744
1577816830	l	r	l	csv.gz	5	57.31	35.48	998395904	10403840
1577816830	l	r	l	snappy.parquet	5	9.70	61.73	1027223552	0
1577816830	s	u	s	csv	6	8.37	68.57	867213312	192512
1577816830	s	u	s	csv.gz	6	9.65	52.08	724201472	20480
1577816830	s	u	s	snappy.parquet	6	4.89	51.57	702959616	65536
1577816830	s	u	l	csv	6	17.76	68.31	872996864	155648
1577816830	s	u	l	csv.gz	6	17.99	52.12	727871488	19632128
1577816830	s	u	l	snappy.parquet	6	6.55	40.70	955265024	368640
1577816830	s	r	s	csv	6	10.85	79.59	698712064	0
1577816830	s	r	s	csv.gz	6	7.54	44.84	741965824	630784
1577816830	s	r	s	snappy.parquet	6	4.59	54.06	801579008	16384
1577816830	s	r	l	csv	6	17.78	69.62	741888000	96083968
1577816830	s	r	l	csv.gz	6	13.76	27.28	991850496	49152
1577816830	s	r	l	snappy.parquet	6	5.82	44.04	952344576	40960
1577816830	l	u	s	csv	6	21.70	68.47	883990528	13647872
1577816830	l	u	s	csv.gz	6	40.15	33.97	730230784	315392
1577816830	l	u	s	snappy.parquet	6	7.82	55.80	1052401664	3715072
1577816830	l	u	l	csv	6	76.52	72.85	1061203968	348160
1577816830	l	u	l	csv.gz	6	51.90	39.01	749236224	7712768
1577816830	l	u	l	snappy.parquet	6	10.92	61.90	1423572992	106496
1577816830	l	r	s	csv	6	20.31	62.44	829337600	8548352
1577816830	l	r	s	csv.gz	6	24.77	40.26	829865984	1142784
1577816830	l	r	s	snappy.parquet	6	6.78	54.93	1149399040	8192
1577816830	l	r	l	csv	6	56.83	66.14	982663168	122880
1577816830	l	r	l	csv.gz	6	61.98	44.41	1058734080	2215936
1577816830	l	r	l	snappy.parquet	6	13.27	51.15	1147379712	98304
1577816830	s	u	s	csv	7	9.12	55.84	875229184	385024
1577816830	s	u	s	csv.gz	7	10.43	58.23	751284224	1323008
1577816830	s	u	s	snappy.parquet	7	4.88	46.35	788647936	73728
1577816830	s	u	l	csv	7	16.84	62.99	896163840	176128
1577816830	s	u	l	csv.gz	7	18.03	36.82	737705984	126976
1577816830	s	u	l	snappy.parquet	7	6.14	56.67	918573056	40960
1577816830	s	r	s	csv	7	9.58	63.79	698732544	8192
1577816830	s	r	s	csv.gz	7	10.35	38.48	916090880	4096
1577816830	s	r	s	snappy.parquet	7	4.55	48.39	843198464	8192
1577816830	s	r	l	csv	7	14.25	71.77	748437504	8192
1577816830	s	r	l	csv.gz	7	16.00	28.42	1142145024	0
1577816830	s	r	l	snappy.parquet	7	5.83	53.27	1023528960	241664
1577816830	l	u	s	csv	7	30.82	65.09	880545792	528384
1577816830	l	u	s	csv.gz	7	15.05	47.24	719822848	17506304
1577816830	l	u	s	snappy.parquet	7	5.62	34.43	734216192	4096
1577816830	l	u	l	csv	7	59.90	77.24	975355904	425984
1577816830	l	u	l	csv.gz	7	67.95	38.22	750850048	180224
1577816830	l	u	l	snappy.parquet	7	13.40	56.26	1413107712	10944512
1577816830	l	r	s	csv	7	12.10	51.43	853045248	49152
1577816830	l	r	s	csv.gz	7	53.39	17.56	743432192	36302848
1577816830	l	r	s	snappy.parquet	7	6.45	40.20	1113858048	1523712
1577816830	l	r	l	csv	7	61.60	66.65	1061609472	10002432
1577816830	l	r	l	csv.gz	7	58.94	35.79	975769600	155648
1577816830	l	r	l	snappy.parquet	7	10.04	49.79	1089511424	12288
1577816830	s	u	s	csv	8	10.18	74.25	890413056	10674176
1577816830	s	u	s	csv.gz	8	10.04	41.32	741646336	90112
1577816830	s	u	s	snappy.parquet	8	4.71	54.44	714690560	12288
1577816830	s	u	l	csv	8	16.18	69.86	893431808	294912
1577816830	s	u	l	csv.gz	8	17.69	39.02	745422848	57344
1577816830	s	u	l	snappy.parquet	8	6.24	53.00	887095296	20480
1577816830	s	r	s	csv	8	7.68	70.68	699039744	4096
1577816830	s	r	s	csv.gz	8	5.20	60.02	704249856	4096
1577816830	s	r	s	snappy.parquet	8	5.23	41.31	1023205376	28672
1577816830	s	r	l	csv	8	13.46	64.74	712810496	90112
1577816830	s	r	l	csv.gz	8	16.06	34.73	1449177088	0
1577816830	s	r	l	snappy.parquet	8	5.85	42.96	896524288	12288
1577816830	l	u	s	csv	8	20.57	67.65	876961792	131072
1577816830	l	u	s	csv.gz	8	28.11	36.18	732958720	110592
1577816830	l	u	s	snappy.parquet	8	7.39	52.27	969338880	5582848
1577816830	l	u	l	csv	8	53.46	75.55	1059241984	7897088
1577816830	l	u	l	csv.gz	8	86.61	33.85	740483072	397312
1577816830	l	u	l	snappy.parquet	8	15.31	39.78	1430622208	1155072
1577816830	l	r	s	csv	8	11.90	67.38	810278912	110592
1577816830	l	r	s	csv.gz	8	52.29	16.81	895045632	53248
1577816830	l	r	s	snappy.parquet	8	7.16	49.56	1329913856	49152
1577816830	l	r	l	csv	8	73.04	71.16	1004199936	8421376
1577816830	l	r	l	csv.gz	8	71.45	32.14	996753408	94208
1577816830	l	r	l	snappy.parquet	8	10.55	43.46	977645568	77824
1577816830	s	u	s	csv	9	8.92	48.75	837246976	434176
1577816830	s	u	s	csv.gz	9	8.48	45.83	711462912	20480
1577816830	s	u	s	snappy.parquet	9	4.86	55.61	797921280	28672
1577816830	s	u	l	csv	9	20.04	71.85	883908608	36864
1577816830	s	u	l	csv.gz	9	13.15	30.97	741773312	36864
1577816830	s	u	l	snappy.parquet	9	6.25	48.95	920039424	4096
1577816830	s	r	s	csv	9	6.43	66.23	671375360	0
1577816830	s	r	s	csv.gz	9	8.23	34.78	751431680	1036288
1577816830	s	r	s	snappy.parquet	9	4.29	57.04	766844928	16384
1577816830	s	r	l	csv	9	18.67	65.77	731340800	147456
1577816830	s	r	l	csv.gz	9	22.65	34.66	1091170304	139264
1577816830	s	r	l	snappy.parquet	9	6.93	49.36	1024204800	4096
1577816830	l	u	s	csv	9	27.54	75.55	874954752	180224
1577816830	l	u	s	csv.gz	9	16.72	43.50	733691904	134799360
1577816830	l	u	s	snappy.parquet	9	8.77	41.72	1068179456	102400
1577816830	l	u	l	csv	9	61.86	70.73	1069789184	249856
1577816830	l	u	l	csv.gz	9	64.17	40.31	744935424	14106624
1577816830	l	u	l	snappy.parquet	9	13.89	50.67	1418043392	12861440
1577816830	l	r	s	csv	9	12.56	60.26	827641856	0
1577816830	l	r	s	csv.gz	9	52.53	16.90	825131008	368640
1577816830	l	r	s	snappy.parquet	9	8.09	53.36	1352531968	2887680
1577816830	l	r	l	csv	9	67.41	75.05	1115598848	12853248
1577816830	l	r	l	csv.gz	9	84.37	36.14	1036341248	86016
1577816830	l	r	l	snappy.parquet	9	10.04	41.81	1016987648	77824
